age,attrition,businesstravel,dailyrate,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,remotework,monthlysalary,annualsalary
38,no,unknown,184.92,10,Grado,medical,2073,2,mujer,99,1,3, research director ,3,married,,3376,3,no,12,3,1,1,0,3,3,18,1,11,13206,1985,yes,4068.2400000000002,48264.12
41,yes,travel_rarely,1251.2,12,Grado,unknown,58,2,mujer,49,3,5, research director ,3,married,,16280,1,no,12,3,4,0,0,0,3,22,15,8,19545,1982,no,27526.4,326563.2
55,no,unknown,636.64,14,Master,medical,2074,3,hombre,61,4,5, research director ,2,single,,13339,8,no,11,3,4,0,0,3,3,24,2,15,0,1968,yes,14006.08,166163.04
40,no,travel_rarely,1286.16,2,Master,unknown,558,3,mujer,79,3,5, manager ,3,,,13022,0,no,14,3,4,0,0,2,3,20,1,12,18041,1983,no,28295.52,335687.76
58,yes,travel_rarely,263.12,2,Master,unknown,825,4,hombre,31,3,5, research director ,2,single,,25761,7,yes,12,3,4,0,40,2,3,31,13,8,19246,1965,no,5788.64,68674.32
46,no,travel_rarely,1289.84,2,Grado,unknown,2075,3,mujer,69,3,4, manager ,1,,,24097,8,,23,4,1,0,28,2,3,26,15,9,0,1977,no,28376.480000000003,336648.24000000005
35,no,unknown,753.48,13,Doctorado,life sciences,2076,2,hombre,48,4,2, research scientist ,1,married,,26312,1,,11,3,4,0,0,2,3,16,1,10,0,1988,no,16576.56,196658.28
40,no,travel_rarely,813.28,15,Grado,life sciences,2077,1,mujer,80,2,3, manufacturing director ,3,,,25800,1,,13,3,4,2,18,2,0,18,14,12,0,1983,yes,17892.160000000003,212266.08000000002
45,no,non-travel,1138.96,1,Secundaria,unknown,1712,3,hombre,74,2,3, healthcare representative ,3,,,3395,3,,23,4,4,1,25,3,2,23,14,4,10748,1978,no,25057.120000000003,297268.56
33,no,unknown,473.8,1,FP,life sciences,73,1,mujer,98,3,3, research director ,4,single,,15146,1,yes,12,3,3,0,15,1,3,15,8,12,0,1990,yes,10423.6,123661.8
36,no,unknown,1125.16,8,Grado,unknown,2078,3,mujer,59,3,3, healthcare representative ,3,divorced,,8202,1,,13,,2,3,17,2,3,17,12,8,0,1987,yes,24753.52,293666.76
47,no,unknown,185.84,2,FP,other,820,3,mujer,33,3,4, manager ,4,married,,12982,1,,11,3,3,1,0,3,2,26,3,0,16752,1976,no,4088.48,48504.24
36,no,travel_rarely,853.76,42,FP,life sciences,2079,42,hombre,56,3,2, sales executive ,4,,,2823,1,,14,3,4,1,18,1,0,18,4,11,6201,1987,yes,18782.72,222831.36
35,no,unknown,558.44,9,Grado,life sciences,2080,4,mujer,66,2,3, manufacturing director ,3,married,,23457,1,yes,20,4,2,1,17,2,3,17,5,15,0,1988,no,12285.68,145752.84000000003
52,yes,unknown,244.72,2,Secundaria,unknown,2081,1,mujer,57,1,5, manager ,4,married,,25846,1,no,15,3,4,1,33,3,3,32,6,9,19845,1971,yes,5383.84,63871.92
36,no,unknown,394.68,2,Master,life sciences,1294,3,mujer,53,3,2, manufacturing director ,2,single,,2323,9,yes,11,3,4,0,18,2,3,16,5,12,0,1987,no,8682.960000000001,103011.48
33,no,travel_rarely,541.88,28,Master,life sciences,2082,2,hombre,79,3,2, laboratory technician ,3,married,,22949,1,,12,3,2,1,15,3,3,15,5,7,0,1990,yes,11921.36,141430.68
34,no,non-travel,,10,Grado,life sciences,1774,4,hombre,87,3,2, sales executive ,3,,,12313,1,yes,14,3,3,1,15,3,3,15,0,7,4001,1989,yes,,
41,no,unknown,,37,Secundaria,unknown,1815,37,mujer,81,3,3, sales executive ,3,divorced,,26458,0,,13,3,4,1,0,3,4,22,13,5,10447,1982,yes,,
47,no,unknown,1085.6,25,Grado,medical,1993,1,hombre,84,3,3, healthcare representative ,3,,,13084,2,,23,4,2,0,25,3,3,17,12,11,0,1976,yes,23883.200000000004,283341.60000000003
53,no,travel_rarely,1179.44,5,Grado,unknown,32,3,mujer,58,3,5, manager ,3,,,10735,4,,11,3,4,1,26,3,2,14,4,8,0,1970,yes,25947.68,307833.84
35,no,unknown,713.92,1,Master,marketing,100,3,hombre,32,2,2, sales executive ,1,single,,23016,0,no,14,,2,0,16,2,3,15,2,8,0,1988,no,15706.240000000002,186333.12000000002
34,no,travel_rarely,611.8,6,Master,other,2083,1,mujer,41,3,2, research scientist ,3,single,,12482,1,,14,3,3,0,16,3,3,16,2,10,0,1989,yes,13459.600000000002,159679.80000000002
46,no,travel_rarely,483.92,1,FP,unknown,244,2,mujer,92,3,3, sales executive ,1,divorced,,2137,1,no,25,4,3,3,24,2,3,24,15,7,0,1977,yes,10646.24,126303.12000000001
43,no,unknown,951.28,16,Grado,unknown,327,4,mujer,80,3,4, manager ,4,married,,7744,5,,22,4,3,1,22,3,3,17,1,9,16064,1980,yes,20928.160000000003,248284.08000000002
36,no,unknown,1290.76,6,Grado,life sciences,373,4,hombre,47,3,1, laboratory technician ,4,married,,20251,0,,11,3,3,1,16,4,3,15,10,11,3210,1987,yes,28396.72,336888.36
60,no,travel_frequently,1379.08,28,Grado,unknown,2084,3,mujer,80,2,3, sales executive ,1,married,,2845,4,no,19,3,4,0,22,5,4,18,13,11,10266,1963,yes,30339.760000000002,359939.88000000006
40,no,travel_frequently,533.6,5,Master,unknown,729,4,hombre,48,2,3, sales executive ,1,married,,23772,5,yes,21,4,3,1,20,2,3,18,1,12,10475,1983,no,11739.2,139269.6
32,no,travel_rarely,790.28,4,Grado,unknown,830,3,mujer,98,2,2, manufacturing director ,3,married,,19124,1,no,12,3,3,1,14,3,3,14,6,8,6162,1991,no,17386.160000000003,206263.08000000002
41,no,travel_rarely,241.96,35,Grado,unknown,2085,35,hombre,59,3,1, laboratory technician ,1,single,,3119,2,yes,13,,3,0,20,3,3,18,2,17,4721,1982,yes,5323.12,63151.560000000005
53,no,unknown,1265.92,2,FP,medical,981,3,hombre,64,3,4, manager ,3,divorced,,13938,6,no,13,3,3,1,22,3,4,17,15,2,0,1970,no,27850.24,330405.12
36,yes,travel_rarely,814.2,16,Master,unknown,1042,3,mujer,43,4,1, laboratory technician ,1,single,,8269,1,,16,3,3,0,18,1,3,17,15,14,0,1987,yes,17912.4,212506.2
46,no,unknown,922.76,8,Master,life sciences,1080,4,mujer,74,2,2, research scientist ,1,divorced,,21029,8,yes,23,4,1,3,0,2,3,16,1,7,4615,1977,no,20300.72,240840.36
38,no,travel_rarely,1215.32,1,Master,unknown,1995,4,hombre,86,3,2, sales executive ,2,married,,7636,0,no,15,3,1,2,16,3,0,15,5,8,0,1985,yes,26737.040000000005,317198.52
51,no,unknown,,1,Master,unknown,145,1,mujer,30,2,3, healthcare representative ,1,single,,25796,3,,20,4,3,0,23,1,2,13,12,8,0,1972,yes,,
43,no,unknown,362.48,26,FP,unknown,158,3,hombre,92,3,4, manager ,4,married,,19494,1,yes,12,3,4,2,25,3,4,25,4,12,16959,1980,yes,7974.56,94607.28
37,no,unknown,1262.24,1,Grado,life sciences,391,4,mujer,42,3,1, research scientist ,4,single,,15881,1,no,12,3,2,0,0,3,3,17,5,7,0,1986,yes,27769.28,329444.64
32,no,travel_rarely,,8,FP,technical degree,436,3,mujer,65,2,2, sales executive ,2,married,,24624,1,yes,11,3,4,0,0,2,3,13,11,9,0,1991,yes,,
38,no,unknown,1226.36,1,Grado,unknown,2086,4,mujer,80,3,3, research director ,1,married,,16292,1,,13,3,2,1,15,3,3,15,5,11,0,1985,no,26979.920000000002,320079.96
46,no,unknown,209.76,3,Grado,life sciences,1527,3,mujer,51,3,4, manager ,2,,,11380,8,no,12,3,4,1,23,2,4,13,5,1,0,1977,yes,4614.72,54747.36000000001
35,yes,travel_rarely,678.04,10,Grado,medical,2087,4,hombre,55,2,3, sales executive ,1,married,,21530,9,,17,3,3,0,15,3,0,13,6,0,10306,1988,no,14916.880000000001,176968.44000000003
43,no,unknown,757.16,6,Grado,medical,1866,1,mujer,81,2,5, manager ,3,married,,22539,7,no,13,3,4,0,21,2,3,16,6,14,0,1980,yes,16657.52,197618.76
56,no,non-travel,613.64,1,Master,life sciences,2026,3,hombre,57,3,2, healthcare representative ,3,divorced,,26236,1,no,21,,1,1,0,2,2,13,1,9,0,1967,yes,13500.08,160160.04
36,no,non-travel,276.92,15,Master,marketing,2088,4,hombre,88,1,2, sales executive ,4,divorced,,10436,1,no,24,4,1,1,0,4,2,15,11,11,5406,1987,yes,6092.240000000001,72276.12000000001
38,no,unknown,527.16,6,Grado,medical,107,2,mujer,79,1,2, research scientist ,4,,,15717,7,,12,3,4,3,17,3,3,13,1,9,0,1985,yes,11597.519999999999,137588.75999999998
49,no,unknown,,26,Master,medical,170,3,mujer,96,3,2, manufacturing director ,1,,,5549,1,no,14,3,3,0,16,2,2,15,5,11,0,1974,no,,
39,no,travel_rarely,1222.68,4,Master,life sciences,2089,4,mujer,47,2,2, sales executive ,3,married,,14590,4,,14,3,3,1,17,1,4,15,5,9,5902,1984,yes,26898.960000000003,319119.48000000004
40,no,unknown,579.6,4,Master,unknown,215,3,hombre,67,2,3, sales executive ,4,married,,8552,7,no,11,,1,1,15,2,2,12,2,11,10855,1983,yes,12751.2,151275.6
36,no,unknown,,5,FP,unknown,304,4,hombre,62,3,2, laboratory technician ,2,single,,9945,8,no,16,3,4,0,16,3,4,13,3,7,5914,1987,yes,,
37,no,unknown,977.96,25,Doctorado,unknown,529,2,mujer,72,3,2, research scientist ,3,married,,23866,3,yes,15,3,1,2,15,2,3,13,10,7,0,1986,no,21515.120000000003,255247.56
35,no,unknown,935.64,6,Master,unknown,691,2,hombre,82,1,2, research scientist ,4,,,19368,1,,13,3,2,0,0,3,3,17,11,8,6646,1988,yes,20584.079999999998,244202.04
33,no,travel_frequently,1192.32,6,Grado,life sciences,692,3,hombre,64,3,2, healthcare representative ,4,divorced,,5335,3,no,23,4,3,1,15,2,1,13,4,7,0,1990,no,26231.040000000005,311195.52
50,no,travel_rarely,863.88,24,Grado,unknown,1005,4,hombre,64,3,4, manufacturing director ,3,married,,4161,3,yes,18,3,4,1,22,2,3,12,1,5,13973,1973,no,19005.36,225472.68
48,no,travel_rarely,1246.6,4,Master,unknown,1024,3,hombre,78,2,3, healthcare representative ,3,single,,22245,7,,14,,2,0,27,3,3,15,4,8,0,1975,yes,27425.200000000004,325362.60000000003
44,no,travel_rarely,1332.16,28,Grado,unknown,1039,4,mujer,53,4,4, sales executive ,4,married,,11737,3,,18,3,3,1,0,2,3,12,11,11,13320,1979,yes,29307.52,347693.76
44,no,travel_rarely,184.0,29,Master,unknown,1225,4,hombre,32,3,2, research scientist ,4,single,,7744,1,,25,4,2,0,0,3,3,20,13,17,0,1979,yes,4048.0,48024.0
40,no,unknown,1105.84,25,Secundaria,unknown,1375,25,mujer,89,4,2, healthcare representative ,3,,,13888,5,no,20,4,2,3,15,0,3,12,11,8,0,1983,yes,24328.480000000003,288624.24000000005
34,no,travel_rarely,371.68,2,Master,unknown,2090,3,mujer,98,3,2, healthcare representative ,4,single,,6163,1,,11,3,4,0,14,2,4,14,4,11,6687,1989,yes,8176.96,97008.48
35,no,non-travel,191.36,8,Master,unknown,2091,3,mujer,52,3,2, healthcare representative ,3,,,12250,1,,12,3,4,1,0,5,3,14,2,9,0,1988,yes,4209.92,49944.96000000001
50,no,unknown,747.96,17,Doctorado,life sciences,2092,4,mujer,50,2,3, research director ,1,,,21981,5,no,15,3,3,3,0,3,3,14,1,11,0,1973,no,16455.120000000003,195217.56
49,no,unknown,427.8,6,Secundaria,life sciences,1661,3,mujer,41,2,4, healthcare representative ,3,,,11652,2,,19,3,2,1,0,3,3,15,2,12,0,1974,yes,9411.6,111655.8
38,no,travel_frequently,1093.88,1,Grado,life sciences,1668,4,hombre,90,3,2, research scientist ,4,,,9867,7,no,15,3,4,2,19,4,0,13,2,9,4735,1985,yes,24065.36,285502.68000000005
33,no,unknown,,21,Grado,unknown,1698,2,hombre,79,4,1, laboratory technician ,2,,,13637,1,no,18,3,4,3,14,6,0,14,2,13,0,1990,yes,,
47,no,travel_rarely,920.92,4,Grado,life sciences,2093,3,mujer,92,2,3, manufacturing director ,2,divorced,,19271,8,yes,12,,3,1,0,4,3,22,14,10,0,1976,yes,20260.24,240360.12000000002
38,no,unknown,1282.48,8,Grado,unknown,1937,4,mujer,58,2,2, research scientist ,2,divorced,,18115,1,,16,3,3,1,20,3,3,20,0,7,0,1985,no,28214.56,334727.28
37,no,travel_rarely,148.12,10,Grado,life sciences,2017,3,mujer,42,4,3, research director ,4,,,15471,1,yes,25,4,1,1,16,2,3,16,6,8,0,1986,yes,3258.6400000000003,38659.32
30,no,unknown,264.96,2,Grado,unknown,117,3,hombre,99,2,2, healthcare representative ,4,married,,15830,1,no,19,,1,3,11,3,3,11,10,8,0,1993,yes,5829.120000000001,69154.56000000001
58,no,travel_rarely,627.44,18,Master,unknown,131,4,hombre,37,3,4, sales executive ,3,single,,24409,0,,13,3,3,0,38,1,2,37,1,8,13872,1965,yes,13803.68,163761.84000000003
34,no,travel_rarely,1245.68,5,Grado,unknown,153,3,mujer,45,2,3, manager ,1,single,,5615,2,,12,3,4,0,14,6,3,11,5,8,0,1989,no,27404.960000000003,325122.48000000004
58,yes,travel_rarely,135.24,23,Master,medical,2094,4,mujer,94,3,3, healthcare representative ,4,married,,3465,1,,12,3,4,1,40,3,2,40,15,6,0,1965,yes,2975.28,35297.64
38,no,unknown,109.48,3,Grado,life sciences,307,1,hombre,76,3,3, sales executive ,3,divorced,,9647,0,,12,3,3,2,0,6,2,16,5,13,0,1985,yes,2408.56,28574.280000000002
29,no,travel_frequently,1299.96,1,Secundaria,unknown,2095,2,mujer,42,3,3, sales executive ,4,married,,6599,1,,14,3,4,1,11,5,3,11,4,1,0,1994,yes,28599.120000000003,339289.56
55,no,travel_rarely,415.84,1,Grado,medical,374,4,hombre,81,3,5, manager ,1,single,,18938,0,,14,3,3,0,37,2,3,36,4,13,19045,1968,yes,9148.480000000001,108534.24
41,no,unknown,307.28,10,Master,unknown,2096,4,hombre,88,3,4, manager ,2,,,15896,1,,19,3,2,0,0,2,3,22,0,4,16015,1982,yes,6760.160000000001,80200.08
39,no,travel_rarely,1041.44,1,Grado,unknown,2097,3,hombre,48,4,3, healthcare representative ,4,,,10942,0,no,17,,1,3,19,5,2,18,3,7,9613,1984,no,22911.68,271815.84
38,no,unknown,,15,FP,life sciences,2098,3,hombre,92,2,3, research director ,4,,,15682,0,,14,3,2,1,0,3,3,11,2,9,11510,1985,yes,,
43,no,unknown,903.44,12,Grado,unknown,2099,1,hombre,59,2,4, research director ,2,,,4345,1,no,11,3,3,1,0,3,0,25,3,9,0,1980,yes,19875.68,235797.84000000003
31,no,unknown,441.6,30,FP,unknown,524,2,mujer,31,3,2, manufacturing director ,1,married,,4156,1,no,12,3,2,1,13,5,1,13,3,12,4306,1992,yes,9715.2,115257.6
50,no,travel_rarely,1011.08,27,Master,life sciences,569,27,hombre,88,2,4, manager ,3,married,,9314,0,no,15,3,2,1,28,2,3,27,15,7,17046,1973,yes,22243.760000000002,263891.88
35,no,unknown,618.24,25,Grado,technical degree,899,4,hombre,78,2,3, manufacturing director ,2,married,,9129,3,no,16,,1,0,0,2,3,13,4,8,0,1988,no,13601.28,161360.64
47,no,unknown,1268.68,16,Master,unknown,2100,3,hombre,64,4,2, manufacturing director ,3,,,6759,1,yes,19,3,3,0,20,3,0,19,2,7,5067,1976,yes,27910.960000000003,331125.48000000004
35,no,unknown,536.36,25,Master,unknown,1014,3,mujer,57,3,3, healthcare representative ,3,divorced,,6975,1,yes,11,,3,1,0,3,2,16,10,1,0,1988,yes,11799.92,139989.96
40,no,travel_rarely,1372.64,20,Master,unknown,2101,1,hombre,61,3,3, healthcare representative ,4,married,,26542,4,,20,4,4,1,14,6,3,11,11,1,0,1983,yes,30198.08,358259.04000000004
45,no,unknown,966.0,9,Master,life sciences,1117,2,mujer,65,2,2, sales executive ,3,married,,17970,1,,13,3,4,1,15,2,3,15,4,12,0,1978,no,21252.0,252126.0
33,no,unknown,107.64,9,Grado,medical,1238,1,hombre,60,3,1, research scientist ,4,married,,6311,0,,13,3,2,1,15,5,3,14,4,10,0,1990,no,2368.08,28094.04
36,no,travel_frequently,431.48,3,Grado,unknown,2102,3,hombre,46,3,1, research scientist ,2,married,,9256,1,no,12,3,3,0,12,2,2,11,0,7,3692,1987,no,9492.560000000001,112616.28
45,yes,unknown,,13,Grado,marketing,1277,1,mujer,94,1,5, manager ,2,,,2493,2,yes,16,3,1,0,26,2,3,24,1,11,0,1978,yes,,
51,no,travel_frequently,218.04,27,Grado,unknown,2103,27,hombre,83,3,5, manager ,2,,,19196,4,yes,24,,1,1,0,5,2,29,11,10,19847,1972,no,4796.88,56908.44
34,no,travel_rarely,1324.8,7,FP,technical degree,1541,2,hombre,55,3,1, sales representative ,3,,,4944,0,yes,25,4,2,1,12,4,3,11,5,7,2308,1989,no,29145.6,345772.8
43,no,travel_rarely,1187.72,15,FP,unknown,1666,3,hombre,65,2,4, research director ,3,,,3525,1,no,24,4,1,1,0,3,3,14,6,11,0,1980,yes,26129.84,309994.92
34,no,unknown,1064.44,5,FP,medical,1696,2,hombre,57,2,2, laboratory technician ,4,,,11912,1,no,14,3,3,1,0,3,0,15,4,13,0,1989,no,23417.68,277818.84
38,no,unknown,1229.12,2,Grado,unknown,1805,1,hombre,100,3,1, human resources ,2,divorced,,7129,5,no,13,3,4,3,13,3,3,11,3,8,0,1985,yes,27040.640000000003,320800.32
48,no,unknown,1126.08,10,Grado,unknown,2104,4,hombre,91,2,5, research director ,2,,,13583,4,no,12,3,4,0,29,3,3,22,12,9,0,1975,no,24773.760000000002,293906.88000000006
34,no,unknown,676.2,22,Master,other,1932,3,hombre,86,2,2, research scientist ,4,married,,26496,1,yes,15,3,2,0,16,3,3,15,6,11,5747,1989,no,14876.400000000001,176488.2
32,no,travel_rarely,,31,Master,unknown,2016,31,mujer,48,3,3, sales executive ,4,,,24032,1,no,19,3,3,2,14,3,3,14,5,7,10422,1991,yes,,
29,no,travel_rarely,1277.88,21,Master,life sciences,20,2,mujer,51,4,3, manufacturing director ,1,divorced,,10195,1,no,11,3,3,1,10,1,3,10,8,8,0,1994,no,28113.36,333526.68000000005
46,no,unknown,586.96,1,Grado,medical,2105,3,hombre,40,2,3, healthcare representative ,1,married,,3142,2,yes,13,3,3,1,21,5,2,10,9,5,0,1977,no,12913.12,153196.56
30,no,unknown,1140.8,9,Grado,unknown,184,3,hombre,48,3,2, human resources ,4,married,,13982,0,yes,19,3,4,0,0,2,1,11,4,7,6347,1993,no,25097.6,297748.8
45,no,unknown,178.48,9,Grado,life sciences,206,2,hombre,60,3,2, laboratory technician ,2,,,10901,8,no,18,3,3,1,20,2,0,17,0,15,2348,1978,yes,3926.5600000000004,46583.280000000006
30,no,travel_rarely,1231.88,5,Grado,unknown,228,2,mujer,41,3,3, sales executive ,4,,,8053,2,no,12,3,3,1,0,2,3,10,7,4,0,1993,yes,27101.36,321520.68000000005
30,no,unknown,102.12,9,Grado,unknown,239,3,hombre,66,3,2, laboratory technician ,1,,,11012,1,no,11,,3,2,12,4,3,12,6,10,3072,1993,yes,2246.6400000000003,26653.32
34,no,travel_frequently,,29,Secundaria,unknown,256,4,hombre,45,2,2, manufacturing director ,3,married,,14074,1,,17,3,3,0,10,2,2,10,1,9,0,1989,no,,
51,no,travel_rarely,1351.48,8,Master,life sciences,2106,2,hombre,81,2,3, research director ,2,married,,15736,5,no,16,3,4,2,16,5,1,10,4,7,12490,1972,no,29732.56,352736.28
34,no,unknown,432.4,39,Master,life sciences,339,39,hombre,84,2,2, manufacturing director ,1,,,23687,6,,13,3,2,1,13,3,3,11,5,9,0,1989,yes,9512.800000000001,112856.40000000001
35,no,travel_rarely,1133.44,16,Grado,unknown,406,3,hombre,96,3,3, sales executive ,2,married,,5100,0,,15,3,3,2,12,3,2,11,6,9,8020,1988,yes,24935.68,295827.84
45,no,travel_frequently,1149.08,7,Grado,life sciences,2107,1,hombre,97,3,3, laboratory technician ,1,,,20308,1,,18,3,1,1,24,2,3,24,9,11,0,1978,yes,25279.760000000002,299909.88000000006
39,no,unknown,107.64,10,Secundaria,unknown,429,3,hombre,99,3,4, manager ,1,married,,5355,1,,14,,4,0,21,3,3,21,11,10,17068,1984,yes,2368.08,28094.04
31,no,unknown,734.16,7,FP,unknown,2108,3,mujer,48,2,3, manufacturing director ,3,married,,14034,1,no,24,4,1,1,10,2,3,10,8,9,8943,1992,no,16151.520000000002,191615.76
39,no,unknown,618.24,7,FP,unknown,444,3,hombre,54,2,5, manager ,4,married,,21141,1,,15,3,1,1,0,2,3,21,13,3,19272,1984,yes,13601.28,161360.64
45,no,travel_rarely,505.08,8,Master,unknown,452,4,hombre,75,3,2, research scientist ,4,,,9278,9,no,14,3,1,2,12,3,3,10,9,8,0,1978,yes,11111.76,131825.88
30,no,travel_rarely,524.4,5,Grado,marketing,456,4,mujer,30,2,2, sales executive ,3,,,5431,1,,13,3,3,3,10,2,3,10,1,2,0,1993,yes,11536.8,136868.4
31,no,unknown,1133.44,7,Master,medical,2109,3,mujer,39,3,3, manufacturing director ,4,,,25713,1,,14,3,3,0,11,2,2,11,4,10,0,1992,no,24935.68,295827.84
36,no,unknown,497.72,3,Master,medical,481,1,hombre,48,2,3, sales executive ,4,married,,7246,4,no,11,3,1,1,16,2,3,13,1,12,0,1987,yes,10949.84,129904.92000000001
36,no,travel_rarely,150.88,2,FP,unknown,513,2,hombre,61,2,3, sales executive ,3,married,,3809,1,,13,3,2,2,10,2,3,10,9,0,0,1987,yes,3319.3599999999997,39379.68
55,no,travel_rarely,1027.64,18,Doctorado,unknown,597,1,mujer,83,3,4, manager ,2,single,,9873,3,no,23,4,4,0,37,2,3,10,7,7,0,1968,yes,22608.08,268214.04000000004
35,no,unknown,569.48,1,Grado,unknown,600,2,hombre,85,3,2, sales executive ,3,,,18659,9,,11,3,3,0,15,2,3,11,6,9,0,1988,yes,12528.560000000001,148634.28
42,no,travel_rarely,293.48,24,Grado,medical,2110,4,hombre,56,3,3, manufacturing director ,1,married,,6950,1,,21,4,4,1,10,5,2,10,5,8,0,1981,no,6456.56,76598.28
52,no,travel_rarely,879.52,6,FP,unknown,630,4,hombre,78,3,2, research scientist ,1,divorced,,22087,3,yes,12,,2,2,18,3,3,10,6,9,5577,1971,yes,19349.44,229554.72
49,no,unknown,1145.4,18,Master,life sciences,638,4,hombre,58,2,5, research director ,3,,,2125,1,yes,17,3,3,1,0,5,3,31,0,9,0,1974,yes,25198.800000000003,298949.4
34,no,travel_rarely,1285.24,1,Doctorado,unknown,683,2,hombre,42,3,1, research scientist ,4,married,,7660,1,no,12,3,4,1,0,4,2,10,8,8,2691,1989,yes,28275.28,335447.64
33,yes,travel_rarely,484.84,1,Master,other,780,4,hombre,63,3,1, research scientist ,4,single,,5207,1,,13,3,3,0,10,2,2,10,7,8,0,1990,no,10666.480000000001,126543.24
33,no,unknown,195.96,7,Grado,medical,817,3,hombre,49,3,3, research director ,3,married,,25995,0,no,11,3,4,0,0,3,4,13,3,7,0,1990,yes,4311.12,51145.560000000005
53,no,travel_rarely,,23,Master,unknown,901,4,mujer,72,3,4, research director ,4,,,20206,6,no,18,3,3,0,33,0,3,12,3,8,0,1970,yes,,
49,no,travel_rarely,484.84,8,FP,other,944,1,mujer,51,3,3, laboratory technician ,2,married,,22477,4,,11,3,3,1,29,3,2,26,1,7,7403,1974,no,10666.480000000001,126543.24
35,no,unknown,811.44,21,Master,unknown,984,21,hombre,64,3,3, sales executive ,4,,,6812,6,,13,3,2,1,0,2,3,10,0,8,0,1988,no,17851.68,211785.84000000003
38,no,travel_rarely,303.6,17,Secundaria,life sciences,1088,3,mujer,65,2,3, healthcare representative ,3,married,,24608,0,,18,3,1,1,20,4,2,19,1,9,8823,1985,no,6679.200000000001,79239.6
46,no,unknown,373.52,3,Secundaria,marketing,1124,1,hombre,64,3,4, manager ,3,married,,15596,3,no,12,3,4,1,0,3,3,12,4,9,0,1977,no,8217.44,97488.72000000002
36,no,non-travel,199.64,18,Master,unknown,2111,1,hombre,78,3,2, manufacturing director ,4,single,,23238,2,,20,4,1,0,18,0,3,11,0,9,0,1987,no,4392.08,52106.04
42,yes,travel_frequently,442.52,15,Grado,life sciences,1167,15,hombre,44,3,4, sales executive ,1,single,,2447,0,,12,,2,0,0,2,2,21,13,14,0,1981,yes,9735.44,115497.72000000002
34,no,travel_frequently,615.48,1,Grado,unknown,1184,4,hombre,97,2,2, healthcare representative ,1,single,,25755,0,no,20,4,3,0,14,3,3,13,4,9,0,1989,yes,13540.560000000001,160640.28
